           3
 AAK.II.LHR.00
           5
   1351.40000009537        1468.40000009537     
   1629.40000009537        1709.40000009537     
   1709.40000009537        1791.40000009537     
   1830.40000009537        1959.40000009537     
   2032.40000009537        2125.40000009537     
 AAK.II.LHT.00
           4
   2205.40000009537        2356.40000009537     
   2362.40000009537        2447.40000009537     
   2655.40000009537        2816.40000009537     
   2865.40000009537        2959.40000009537     
 AAK.II.BHZ.00
          10
   757.400000095367        893.400000095367     
   929.400000095367        1051.40000009537     
   1051.40000009537        1219.40000009537     
   1228.40000009537        1297.40000009537     
   1602.40000009537        1711.40000009537     
   1770.40000009537        1879.40000009537     
   1879.40000009537        1947.40000009537     
   2100.40000009537        2195.40000009537     
   2359.40000009537        2461.40000009537     
   2489.40000009537        2662.40000009537     
